Restoran,Yazar,Yazar Yorum Sayısı,Yazar Foto Sayısı,Yerel Rehber,Puan,Tarih,Yorum,İşletme Yanıtı,Yanıt Tarihi,Bu Yorumda Foto,Yorum ID
Cümcük Restoran,firat beyaz,2,,Hayır,5,18 saat önce,Muazzam lezzet,,,0,Ci9DQUlRQUNvZENodHljRjlvT2xsbFdUZFJiRWxuWmtaQldtcHhXa3hoVFU1UGFIYxAB
Cümcük Restoran,Mustafa Sinan Yıldız,23,23,Evet,5,3 gün önce,,,,0,Ci9DQUlRQUNvZENodHljRjlvT2swNVZHOVRhbmRwTVRkWFYwdElaSE5WUVZaM1YwRRAB
Cümcük Restoran,Mustafa Balıkçı,43,13,Evet,5,5 gün önce,"Gidecek olanlara önerim mix mantı tabağını denemeleri, 5 çeşit mantı vardı hepsi de gayet güzeldi. Güveçte makarna çeşitleri de lezzetliydi fakat mantı tabağı biraz daha ön planda. Güveçte olan ürünün gelmesi biraz uzun sürebiliyor, planlamayı buna göre yapmakta fayda var. Çok temiz ve düzgün bir işletme, tekrar ziyaret edeceğim.",,,0,Ci9DQUlRQUNvZENodHljRjlvT2xkeWJ6WmlVemM0UlZodU1GbGlhSGRRTFhFMGFrRRAB
Cümcük Restoran,hilal korkusuz,19,1,Evet,3,bir hafta önce,,,,0,Ci9DQUlRQUNvZENodHljRjlvT2pRemJGVmlaMTl3Y21VMFdqaHRVbDkxWlhwU01YYxAB
Cümcük Restoran,Ata İlhan,,,Hayır,5,bir hafta önce,,,,0,Ci9DQUlRQUNvZENodHljRjlvT2pZMVUxVmhVRlZCYlVOeWFYbHphSFpVVEdOVWVIYxAB
Cümcük Restoran,Melike KOYUNCU,2,,Hayır,5,bir ay önce,Çok iyi fırsat buldukça giderim fiyatları da gayet ideal,,,0,Ci9DQUlRQUNvZENodHljRjlvT2psQ1FuWTJaVXBJWW5NM1FYUTRhWFp6WW1rM2IxRRAB
Cümcük Restoran,Semih Nabioğlu,57,22,Evet,3,bir ay önce,,,,0,Ci9DQUlRQUNvZENodHljRjlvT25WRFltOTJaSEp2ZVdwRVJrc3piVlpVVUVWTE9WRRAB
Cümcük Restoran,arhan,10,,Hayır,5,bir ay önce,"inanilmaz ilgiliydiler, yemekler çok güzeldi, fiyat gayet uygun",,,0,Ci9DQUlRQUNvZENodHljRjlvT2s5UVIxOTNkRFZaY1hoWmRVUmlRbU5oVm1sUlJXYxAB
Cümcük Restoran,e,5,,Hayır,5,bir ay önce,,,,0,Ci9DQUlRQUNvZENodHljRjlvT205ck1YWlFNMmRtVmxSQ1lrWlFPR05JVkZob1YyYxAB
Cümcük Restoran,Seyhan Topuz,2,2,Hayır,5,bir ay önce,"Yemekler çok lezzetli, atmosfer çok otantik ve tertemiz. Çalışanlar da çok güler yüzlü. Ellerine sağlık çok güzel bir işletme.Mix mantığı tabağı efsane , vişneli yaprak sarması , hepsi birbirinden lezzetli mezeleri çok lezzetli ve efsaneydi.İstanbul dan Ankara’ya gelipte  böyle bir işletmeye denk gelmek çok güzeldi",,,2,Ci9DQUlRQUNvZENodHljRjlvT2tReVNFUTJjazVITVZSWVZVbDNURkJOZDFSdlVuYxAB
Cümcük Restoran,reyhan keskin,1,,Hayır,5,bir ay önce,"Ankaraya yolunuz düşerse cümcük restorana mutlaka gidiniz.Mix mantı tabağı muhteşemdi,vişneli sarması nefisti,mezelerinin tadı damağımda kaldı ve Kayseri yağlaması inanılmazdı.",,,0,Ci9DQUlRQUNvZENodHljRjlvT21rME4wOVViamt6ZWt0WmIxRjJjM2QxYzJ3eVpWRRAB
Cümcük Restoran,V Murad,1,,Hayır,5,bir ay önce,"Mantıların lezzeti enfesti. Hamurlar taze ve soslar güzeldi. Mezeler harikaydı özellikle pancar mezesine bayıldım. İkram edilen reyhan şerbeti, güleryüzlü hizmeti için çalışanlara çok teşekkürler.",,,0,Ci9DQUlRQUNvZENodHljRjlvT25oMmRYQkdNM0Y1TlRVNWFrWXlNbXAzYTNkUk5VRRAB
Cümcük Restoran,Furkan Özden,1,,Hayır,3,bir ay önce,"Buradaki pozitif yorumlara dayanarak gitme kararı aldık ancak sonuçtan çok mutlu değiliz. Gidecek insanlar için ise şeffaf bir şekilde yorumlarımızı yazmak istedik. Umarız bu sorunlar en kısa sürede hallolur 🙏

Tüm mantıkları denedik; içlerindeki etten koku geliyordu ve biraz da yağlıydı. Ziyan olmaması için bitirmeye çalıştık. Lazanya yedik; aşırı yumuşak, porsiyonu az, tadı da iyi değildi. Günün çorbası olarak mercimekli tarhana çorbası içtik; gayet lezzetliydi ancak kıvamı biraz yoğundu. Patatesli hingel de yedik; gayet lezzetliydi ama porsiyon azdı. Profiterol denedik; içi ekşimişti yiyemedik, çöpe atmak zorunda kaldık.",,,0,Ci9DQUlRQUNvZENodHljRjlvT2taTU5ITk9jWE5oZUhGUVpGa3dhakk1TmpZelFsRRAB
Cümcük Restoran,Murat AKINCI,10,1,Hayır,5,bir ay önce düzenlendi,Bu mekanda kendimi evimde gibi hissediyorum. Tadına baktığım her üründen çok memnun kaldım. Tekrar tekrar gitmeyi istediğim mekanlardan biridir. Buraya sadece Makarna ve mantı yemeye gelmemelisiniz. Bir gün mutlaka sadece zeytinyağlıları denemek için gelmelisiniz. Ayrıca bir de KADINBUDU köfte için bir yorumum olacak. Eğer sizdeki KADINBUDU KÖFTE  ise daha önceki yediklerim acaba neydi. Böyle bir lezzet yok.,Sayın Murat Akıncı çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygılarımızla.,5 yıl önce,0,ChZDSUhNMG9nS0VJQ0FnSURDeS03LUFnEAE
Cümcük Restoran,Burak Ünlü,13,2,Evet,5,bir ay önce,,,,0,Ci9DQUlRQUNvZENodHljRjlvT21KVE9VcElNVU13Wm0xTk1pMUZSaTFyZEVjNU1WRRAB
Cümcük Restoran,Mehmet Emre Angun,5,,Evet,5,bir ay önce,,,,0,Ci9DQUlRQUNvZENodHljRjlvT2xsUldUWXdVV0kxWjBwV1YzRm5TMjFNZUhOZlExRRAB
Cümcük Restoran,Bedirhan Özkök,4,,Hayır,5,bir ay önce,,,,0,Ci9DQUlRQUNvZENodHljRjlvT2xocWNYVnhVa3BOTTJOV1YwUlNha2cwTmxKUlFrRRAB
Cümcük Restoran,2024 Son,1,,Hayır,5,bir ay önce,İnstagramda önüme çıktı gittim çok beğendim,,,0,Ci9DQUlRQUNvZENodHljRjlvT2pFME5tMW9jMXBWVUhJMUxUZHFSbXR1UTBKT2RYYxAB
